decision_id,timestamp,bot_version,account,symbol,strategy,strategy_version,interval,action,reason,latest_close,entry_price,buying_power,in_position,position_side,position_qty,qty,market_is_open,force_test_trade,force_direction
4da4822344594e56a0340be1dc72e45e,2026-05-07T14:06:10Z,0.3.0,vwap_rsi_paper,AAPL,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,291.46,,399942.24,False,flat,0,27,True,False,SELL
af5a96355f1d4e98932e0f6de604461c,2026-05-07T14:23:23Z,0.3.0,macd_pullback_paper,AMD,macd_pullback,v2,5m,BUY,macd_pullback,421.51,,402174.76,False,flat,0,19,True,False,SELL
32733c094271482c93525f560c308084,2026-05-07T14:31:38Z,0.3.0,vwap_rsi_paper,NVDA,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,213.11,,390494.4,False,flat,0,36,True,False,SELL
295ef55d315140c09c08b3d747b1fe7f,2026-05-07T15:11:31Z,0.3.0,macd_pullback_paper,AMD,macd_pullback,v2,5m,SELL,macd_failure,413.125,420.402105,394187.12,True,long,19,19,True,False,SELL
5997de34a6f04a648625f89b8320ac1f,2026-05-07T15:22:15Z,0.3.0,vwap_rsi_paper,AAPL,vwap_rsi_mean_reversion,v1,5m,BUY,time_stop,291.105,291.6,381316.78,True,short,27,27,True,False,SELL
3a7c382f88b6445f9047468a47366801,2026-05-07T15:46:08Z,0.3.0,vwap_rsi_paper,NVDA,vwap_rsi_mean_reversion,v1,5m,BUY,time_stop,213.52,212.445,390764.62,True,short,36,36,True,False,SELL
b7046373db44451ba63a62c41c90c2f3,2026-05-07T15:52:27Z,0.3.0,macd_pullback_paper,AMD,macd_pullback,v2,5m,SELL,macd_pullback,408.28,,402174.76,False,flat,0,19,True,False,SELL
e11b04745bb6450595fd10078b57c625,2026-05-07T16:01:59Z,0.3.0,vwap_rsi_paper,AMD,vwap_rsi_mean_reversion,v1,5m,BUY,vwap_rsi_mean_reversion,407.315,,399942.24,False,flat,0,19,True,False,SELL
db737ae7e7e94002a457674cf44e8baf,2026-05-07T16:21:04Z,0.3.0,vwap_rsi_paper,AMD,vwap_rsi_mean_reversion,v1,5m,BUY,vwap_rsi_mean_reversion,403.61,,399942.24,False,flat,0,19,True,False,SELL
287bbaf9b3614a6ab0c12579c0f7d49b,2026-05-07T16:23:53Z,0.3.0,vwap_rsi_paper,ARKK,vwap_rsi_mean_reversion,v1,5m,BUY,vwap_rsi_mean_reversion,77.77,,392273.45,False,flat,0,100,True,False,SELL
fe53c170a28f4ec8befbe81603467430,2026-05-07T16:56:09Z,0.3.0,macd_pullback_paper,AMD,macd_pullback,v2,5m,BUY,macd_failure,406.92,407.8,392876.92,True,short,19,19,True,False,SELL
145963b87b5a41e786d4760aeb1f3ac7,2026-05-07T17:23:11Z,0.3.0,vwap_rsi_paper,ARKK,vwap_rsi_mean_reversion,v1,5m,BUY,vwap_rsi_mean_reversion,77.49,,399942.24,False,flat,0,103,True,False,SELL
7b8fa9e8e200497a975fbc3950c14616,2026-05-07T17:33:34Z,0.3.0,vwap_rsi_paper,IWM,vwap_rsi_mean_reversion,v1,5m,BUY,vwap_rsi_mean_reversion,281.75,,399942.24,False,flat,0,28,True,False,SELL
2c0c7d301c2040d28aa997ec4ed1d62a,2026-05-07T17:33:37Z,0.3.0,vwap_rsi_paper,ARKK,vwap_rsi_mean_reversion,v1,5m,BUY,vwap_rsi_mean_reversion,77.33,,392059.12,False,flat,0,101,True,False,SELL
3537c75f3dc34aefad737c568ed6773f,2026-05-07T18:17:17Z,0.3.0,macd_pullback_paper,AMD,macd_pullback,v2,5m,SELL,macd_pullback,405.075,,402174.76,False,flat,0,19,True,False,SELL
7a310106c3bf47fa8c7b68b1adc0501e,2026-05-07T18:47:08Z,0.3.0,vwap_rsi_paper,IWM,vwap_rsi_mean_reversion,v1,5m,SELL,time_stop,281.895,281.54,384261.92,True,long,28,28,True,False,SELL
e134d09fabf74c93b90dd2ff3c33e0e7,2026-05-07T18:47:11Z,0.3.0,vwap_rsi_paper,ARKK,vwap_rsi_mean_reversion,v1,5m,SELL,time_stop,77.52,77.2,392145.04,True,long,101,101,True,False,SELL
0d0df4850b2547e8b729982105af4fbf,2026-05-07T19:38:27Z,0.3.0,macd_pullback_paper,AMD,macd_pullback,v2,5m,BUY,macd_failure,408.4,405.32,392933.46,True,short,19,19,True,False,SELL
